id|geometry:1|length
segment.871e7689cffffff-179BA07197D8DB8F|LINESTRING (24.0142644 49.8266253, 24.0138907 49.8263217, 24.0135091 49.8259723, 24.0133114 49.8257593, 24.0132714 49.8256982)|125,61
segment.891e7688ad7ffff-17DEB773AD126F06|LINESTRING (24.0679546 49.8334693, 24.0679912 49.8334071, 24.0690319 49.8332523, 24.0694471 49.8331883, 24.0701766 49.8330758)|168,41
segment.8b1e7688339bfff-17BFF6771AB7C83E|LINESTRING (24.0357869 49.8427284, 24.0358693 49.8428271, 24.0359732 49.8429227)|25,45
segment.871e768f4ffffff-17DAE10697EB35D6|LINESTRING (24.1382511 49.8964299, 24.1413651 49.8951152, 24.1424024 49.8946707, 24.1436786 49.8941148, 24.1437306 49.8940921, 24.1449774 49.8934863, 24.146312 49.8927362, 24.1473618 49.8920218, 24.1483795 49.8912892, 24.1493643 49.8904992, 24.150203 49.889767, 24.1512837 49.8887441)|1279,67
segment.8b1e768b5361fff-17DDBE6DC2B2CE45|LINESTRING (23.9604483 49.9045074, 23.9604939 49.9044936, 23.9605433 49.9044814)|7,40
segment.881e768b3dfffff-17BAF239EAB0B056|LINESTRING (23.9300253 49.8727246, 23.9299748 49.8720966, 23.9298949 49.871447, 23.9297367 49.8703418, 23.9296211 49.8695946, 23.9295771 49.869297, 23.9294973 49.8688027, 23.9294692 49.8686282, 23.9294437 49.8684704, 23.9293921 49.8683858, 23.9292231 49.8683464, 23.9280349 49.8684173, 23.9272463 49.8684622)|640,20
segment.891e76881c3ffff-17FBD69E2BBF4749|LINESTRING (24.035125 49.8672913, 24.0367537 49.8672488)|116,83
segment.891e7688177ffff-17D9F894322C0415|LINESTRING (24.0500865 49.8597059, 24.0496133 49.8587474)|111,85
segment.891e7688143ffff-17DDDADA26CACD35|LINESTRING (24.0385961 49.8605537, 24.0377896 49.8604278, 24.0370288 49.8603089, 24.037004 49.8603014, 24.0369855 49.8602884, 24.0369763 49.8602717, 24.0369778 49.860254, 24.0369897 49.8602381, 24.0370103 49.8602264, 24.0376951 49.8599702, 24.0381125 49.859814)|218,75
segment.8a1e768ae8f7fff-17DDF4875D1B027E|LINESTRING (24.0479277 49.9061577, 24.0480714 49.9062657, 24.0481882 49.9063529, 24.0482505 49.9063808, 24.0483236 49.906413, 24.048459 49.9065123)|55,09
